Unnamed: 0,Source,Target
32262,"'And if you drag me out of the area, what 's I going to do!'",'ካብቲ ከባቢ እንተስጐጐትኒኸ እንታይ ክገብር’የ! ንሳ ኣዝያ ብርኽቲ ስለ ዝዀነት እዚ ዝብለካ ዘለኹ ኣይትገብሮን ትኸውን።'
54311,"'German physicist Wilhelm Conrad Röntgen, who subsequently recorded an auxiliary discovery in the basic concept of atom.'",'ብድሕሪኦም ኣብ መሰረታዊ ኣምር ኣቶም ሓጋዚ ርኽበት ብስሙ ዘመዝገበ ጀርመናዊ ፈላጥ ፊዚክስ ቪልሃልም ኮንራድ ሮይንትገን እዩ።'
85818,"'This is what I said to you, Medicare.'",'ነዚ ከምዚ ጉዳይ ከኣ ከምዛ ዝበልኩኺ’ያ መድሃኒታ።'
46778,'This miracle was once again joyfully reunited with joy.','እቲ ሓጐስ ብጓሂ እንደገና ብሓጐስ ተገማዲሑ ከኣ እዚ ተኣምራት ተፈጥረ።'
16078,'For their redeemer is mighty; he shall plead their cause with thee.','እቲ ጠበቓኦም ብርቱዕ እዩ እሞ፡ ባዕሉ ኣብ ክንዳኦም ኪማጐተልካ እዩ።'
74530,"'Some years later, he moved to Atlanta, Georgia, where he enjoyed a happy childhood.'",'ገለ ዓመታት ጸኒሑ ናብ ኣትላንታ - ጆርጅያ ግዒዙ፡ ሕጉስ እዋን ህጻንነት ኣሕለፈ።'
22340,"'And they were offended in him. But Jesus said unto them, A prophet is not without honour, save in his own country, and in his own house.'",'ብእኡ ኸኣ ተዐንቀፉ። የሱስ ድማ፡ ነብዪ ብዘይ ኣብ ዓዱን ኣብ ቤቱን ኣይንዐቕን እዩ፡ በሎም።'
85740,"'What you want to be, not by being a pretender, but by acting honestly on the ground.'",'ነቲ ክትኰኖ እትደሊ ነገር፡ ኣምሰሉ ብምዃን ዘይኰንካስ፡ ኣብ ባይታ ሓቀኛ ስጕምቲ ብምውሳድ ኢኻ ክትኰኖ እትኽእል።'
67016,'Woyo quickly hailed the student as the only problem in his view.','ወዮ ዶክተር ናይቲ ተመሃራይ እንኮ ጸገም ኣብ ኣረኣእያኡ ምዃኑ ቀልጢፉ ቆብ ኣቢልዎ።'
93556,"'Above all, we have done much for the media.'",'ልዕሊ ዅሉ ኸኣ፡ መራኸቢ ብዙሓን ብዙሕ ሰሪሐናሉ እየን።'
79660,"'In some types of work, we seem to be more comfortable and happy than others.'",'ብዝዀነ ገለ ዓይነታት ስራሕ ካብ ካልኦት ዓይነታት ስራሕ ንኽትዓይዮም ዝመችኡን ዘሐጕሱን ይመስሉና እዮም።'
56883,'Adulis entered the field with two points behind Segen Construction.','ኣዱሊስ ብኽልተ ነጥቢ ንሰገን ኮንስትራክሽን መሪሓ እያ ናብ ሜዳ ኣትያ።'
19021,"'Also Edom shall be a desolation: every one that goeth by it shall be astonished, and shall hiss at all the plagues thereof.'",'ኤዶም ንመሰክሒ ኽትከውን እያ። ነፍሲ ወከፍ ብእኣ ዚሐልፍ ድማ በቲ ዂሉ ስቓያ ኺስክሓላን ኪፋጽየላን እዩ።'
26372,"'About whom, when I was at Jerusalem, the chief priests and the elders of the Jews informed me, desiring to have judgment against him.'",'ናብ የሩሳሌም ከይደ ኸሎኹ ኸኣ፡ ሊቃውንቲ ኻህናት ኣይሁድን ዓበይቶምን መጺኦም ንእኡ ኽፈርዶ ለመኑኒ።'
4198,"'And ye shall keep the charge of the sanctuary, and the charge of the altar: that there be no wrath any more upon the children of Israel.'",'ድማ መሊሱ ዅራ ናብ ደቂ እስራኤል ምእንቲ ኸይመጽእሲ፡ ንስኻትኩም ሐለዋ መቕደስን ሓለዋ መሰውእን ሐልዉ።'
8294,'So Israel and Absalom pitched in the land of Gilead.','እስራኤልን ኣቤሴሎምን ድማ ኣብ ምድሪ ጊልዓድ ሰፈሩ።'
19371,"'And they, whether they will hear, or whether they will forbear, (for they are a rebellious house,) yet shall know that there hath been a prophet among them.'",'ንሳቶም ዓላዊት ቤት እዮም እሞ፣ እንተ ሰሚዖም እንተ ኣብዮም፣ ኣብ ማእከሎም ነብዪ ኸም ዝነበረ ኺፈልጡ እዮም።'
