Unnamed: 0,Source,Target
94145,"'Later, he decided to stay with me because his marriage was not secure.'",'ደሓር ከኣ ኣብ ሓዳሩ ቅሳነት ስለ ዘይረኸበ’ዩ ምሳይ ክነብር ወሲኑ ዘሎ፡” “ኪዳን’ኮ ቀሊል ኣይኰነን።'
54472,"'When your city or countryside was about to be mentioned, Tesfamom said: 'Follow me without your row. '",'ከተማኻ ወይ ገጠርካ ናይ ምጥቃስ እዋን ምስ ኣብቀዐ፡ ተስፎም ‘መስርዕኩም ከይዘረግኩም ስዓቡኒ’ በሎም።'
44646,'I didn 't fit everything because I said that he was my future.','ናይ መጻኢየይ ንሱ’ዩ ስለ ዝበልኩ፡ ኩሉ ኣይበቐቕኩሉን።'
26890,"'Now we have received, not the spirit of the world, but the spirit which is of God; that we might know the things that are freely given to us of God.'",'ንሕና ግና፡ እቲ ብኣምላኽ እተዋህበና ምእንቲ ኽንፈልጥሲ፡ ነቲ ኻብ ኣምላኽ ዚኸውን መንፈስ እምበር፡ መንፈስ ዓለም ኣይተቐበልናን።'
70226,'Italy entered Eritrea on the Red Sea.','ጥልያን ናብ ኤርትራ ክኣቱ እንከሎ ብወገን ቀይሕ ባሕሪ እዩ ኣትዩ።'
83520,"'In addition to indoor and dumb water reservoirs, we should use them quickly or properly cover them.'",'ኣብ ርእሲ’ዚ ኣብ ውሽጢ ገዛን ደምበን ዘሎ መዕቈሪ ማይ ቀልጢፍና ክንጥቀመሉ ወይ ብግቡእ ክንከድኖ ይግባእ።'
38486,'He had to be published in a very orderly and intimate way.','ብኣዝዩ ጽፉፍን ቅርጡውን ኣቀራርባ ክሕተም ነይሩዎ።'
86966,'I knew they were arguing.','ብጥቕአን ሕልፍ ክብል እንከለኹ’የ ይካትዓ ምንባረን ዝፈለጥኩ።'
44384,'It has been described as an age that transmits from childhood to adulthood.','ካብ ቁልዕና ናብ ብጽሕና ዘሰጋግር ዕድመ ተባሂሉ ድማ ይግለጽ።'
45943,"'Photos should be read in depth, heard and shared.'",'ስእሊ ብዕምቈት ክንበብ፡ ክስማዕን ክስተማቐርን ይግባእ።'
11897,"'And in the days of Artaxerxes wrote Bishlam, Mithredath, Tabeel, and the rest of their companions, unto Artaxerxes king of Persia; and the writing of the letter was written in the Syrian tongue, and interpreted in the Syrian tongue.'",'ብዘመን ኣርታሕሻስታ ኸአ ቢሻም፡ ሚትሬዳት፡ ጣብኤልን እቶም ዝተረፉ ብጾቱን ናብ ኣርታሕሻስታ ንጉስ ፋርስ ጸሐፉ። ጽሕፈት እታ ደብዳበ ኸአ ብኣራማይስጢ ተጻሒፉ ነበረ እሞ፡ ብኣራማይስጢ ድማ ተተርጎመት።'
33358,"'Those who wrote about getting up early say, ""Raising up in the mornings is a lack of self-confidence.'",'እዞም ብዛዕባ ኣንጊህካ ምትንሳእ ዝጸሓፉ፡ “ብኣላርም ምትንሳእ ርእሰእምነት ዘይምህላው እዩ” እዮም ዝብሉ።'
24913,"'And when even was now come, his disciples went down unto the sea,'",'ምስ መሰየ፡ ደቀ መዛሙርቱ ናብ ባሕሪ ወረዱ።'
15054,"'Let the heavens rejoice, and let the earth be glad; let the sea roar, and the fulness thereof.'",'ሰማያት ይተሐጐሱ፣ ምድሪውን ባህ ይበላ፣ ባሕርን ምልአቱን ይናወጽ። 12-'
62214,"'The competitor who listens well to his voice is aware of where his voice should reach or cling."" - 1 COR.'",'“እቲ ንገዛእ ድምጹ ብዝግባእ ዝሰምዕ ተወዳዳሪ፡ ድምጹ ኣበይ ክመጥጥ ወይ ኽጭብጥ ከም ዘለዎ ኣዐርዩ እዩ ዝግንዘቦ።'
60163,"'However, many parties were able to join the terrorist groups list and their impact was fading.'",'ይኹን’ምበር ብዙሓት ወገናት ኣብ ዝርዝር ሽበራውያን ጉጅለታት ክጽንብርዎ ስለዝኸኣሉ ጽልዋኡ ክሃስስ ክኢሉ።'
11098,"'Then hear thou from the heavens, and forgive the sin of thy people Israel, and bring them again unto the land which thou gavest to them and to their fathers.'",'ሽዑ ንስኻ ኻብ ሰማይ ስማዕ፡ ሓጢኣት ህዝብኻ እስራኤል ከኣ ይቕረ በል፡ ናብዛ ንኣታቶምን ነቦታቶምን ዝሀብካዮም ምድሪ ድማ ምለሶም።'
24095,'For every one that asketh receiveth; and he that seeketh findeth; and to him that knocketh it shall be opened.','ኣነ ኸኣ፡ ዚልምን ዘበለ ይቕበል፡ ዚደሊ ይረክብ፡ ማዕጾ ዃህዃሕ ንዘበለውን ይኽፈተሉ እዩ እሞ፡ ለምኑ ኺውሃበኩም፡ ድለዩ ኽትረኽቡ ኢኹም፡ ማዕጾውን ኳሕኳሕ ኣብሉ፡ ኪኽፈተልኩም እዩ እብለኩም አሎኹ'
63621,'Then he got out of action.','” ድሕሪ ምባል፡ ብቑልጡፍ ስጉምቲ ናብ ውራዩ ነቐለ።'
82365,'The construction of the bridge was completed last December.','መስርሕ ህንጸት ናይ’ቲ ድንድል ኣብ ዝሓለፈ ወርሒ ታሕሳስ እዩ ተዛዚሙ።'
